Gene,Tumor_Mean,Normal_Mean,Log2FC,P_Value,NegLog10_P,Significance
KRTAP13-4,0.015289425706472197,0.4183342105263158,-0.4823064723836519,6.218631006976616e-73,72.20630521202202,Not Significant
AADACL2,0.15819589790337282,1.4235850877192984,-1.0652634416109845,2.3091540814723533e-70,69.63654708722115,Downregulated
CPA1,0.745906836827712,4.601288596491227,-1.681782185006012,7.199003239029456e-69,68.14272763103489,Downregulated
LOC572558,0.6136126709206928,3.707292105263157,-1.5446030625888163,1.6318063463163792e-68,67.78733138217311,Downregulated
CA4,1.5003759343664542,8.104416666666667,-1.8644215625391458,2.377526637287237e-68,67.62387460862313,Downregulated
FIGF,3.033204557885141,9.188756140350876,-1.3369794517663407,5.83638905732518e-68,67.2338557654733,Downregulated
SDPR,6.67273646308113,11.370901754385965,-0.6891375584317043,1.0237778395623276e-67,66.98979427531317,Not Significant
MMP11,12.315019143117592,6.493440350877193,0.8293543638957738,1.1238383048906002e-67,66.94929616950121,Not Significant
CD300LG,3.8339226071103,10.300037719298247,-1.2250613080159096,1.1509395560052167e-67,66.93894748365317,Downregulated
ADAMTS5,7.636122333637192,11.178399122807019,-0.4958689154019442,2.3326733997939148e-67,66.632146063005,Not Significant
MAMDC2,5.899214676390155,9.842922807017544,-0.6522496431941169,5.623038673482983e-67,66.25002892954012,Not Significant
PAMR1,6.167547402005469,10.269769298245613,-0.6529065368598959,9.568196633105436e-67,66.01916990820985,Not Significant
TMEM220,5.483791978122152,8.10587456140351,-0.48995978046657174,1.0966443744830107e-66,65.95993418485851,Not Significant
ARHGAP20,5.131895897903373,8.597698245614035,-0.6463552506620656,1.398871289398122e-66,65.85422224324634,Not Significant
SCARA5,3.9751291704649043,10.371857017543858,-1.1926619764269657,1.5513772918021193e-66,65.80928256980637,Downregulated
SPRY2,7.5191988149498625,10.402394736842103,-0.4205471875744745,1.7369672739272064e-66,65.76020836398625,Not Significant
LMOD1,8.489579398359162,11.560954385964914,-0.4045300349355611,1.827954168748723e-66,65.73803469728328,Not Significant
SCN4B,6.864612670920693,9.99847105263158,-0.48385536176448457,3.994619756474508e-66,65.39852455440364,Not Significant
FAM13A,8.423037921604376,10.997987719298244,-0.34852830518608613,4.3483109373934356e-66,65.36167940810783,Not Significant
TSLP,2.534544393801276,6.498763157894736,-1.0851283956291446,4.872025308994366e-66,65.31229046431442,Downregulated
ABCA10,3.646406107566089,8.200895614035089,-0.9856590449324606,5.717111567961153e-66,65.24282333255796,Not Significant
PPP1R12B,9.705789152233365,11.954331578947368,-0.27504343233811057,6.77365341572496e-66,65.16917702846034,Not Significant
MME,8.269029261622606,12.496191228070174,-0.5420621609647587,7.144085530313747e-66,65.14605335463449,Not Significant
CAV1,10.275234639927074,13.655512280701751,-0.3782859414748527,7.37240252180981e-66,65.13239096099657,Not Significant
COL10A1,10.552509389243392,3.778265789473684,1.2736472514687258,7.49833541117255e-66,65.12503513687214,Upregulated
FXYD1,3.847740929808569,8.795413157894737,-1.014793743602808,8.313077836005981e-66,65.08023815314544,Downregulated
ITIH5,7.904788331814039,12.154735087719297,-0.5629289717950743,1.004720941608895e-65,64.99795454555534,Not Significant
BTNL9,6.102676572470374,10.453698245614033,-0.6893788030728975,1.3458629238864946e-65,64.87099917074445,Not Significant
NEK2,8.676770829535096,4.10338596491228,0.9230709400017331,1.8330081923935193e-65,64.73683559401032,Not Significant
CYMP,0.019375478577939836,0.40077543859649123,-0.4585401384219061,2.0593204739394393e-65,64.68627606269074,Not Significant
